Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
SDSS J143350.83+071452.2,Coutu 2019,SDSS J143350.83+071452.2 Coutu 2019,11282.0,418.0,7.98,0.07,He,0.57,0.04,218.461828790711,7.247853808008,Gaia DR3 1172289608089050496,10.2459016393,0.1364720505,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.56,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.26,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J144124.34+083104.6,Coutu 2019,SDSS J144124.34+083104.6 Coutu 2019,7056.0,146.0,7.99,0.08,He,0.57,0.05,220.351511620475,8.517966760552,Gaia DR3 1172831907840206848,9.910802775,0.3536064419,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.94,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.83,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J153129.26+424015.7,Coutu 2019,SDSS J153129.26+424015.7 Coutu 2019,6998.0,126.0,8.0,0.05,He,0.57,0.03,232.871984391548,42.6710472644277,Gaia DR3 1391331222197901696,11.5340253749,0.1330337413,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross 640,Coutu 2019,Ross 640 Coutu 2019,8316.0,435.0,7.98,0.09,He,0.57,0.06,247.104179538235,36.77106857614,Gaia DR3 1331106782752978688,62.893081761,0.0,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.66,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J164744.70+263646.7,Coutu 2019,SDSS J164744.70+263646.7 Coutu 2019,7034.0,120.0,8.0,0.05,He,0.57,0.03,251.936419089226,26.6128370963416,Gaia DR3 1307226283551364224,19.801980198,0.078423684,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.93,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.99,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J215752.30+120603.1,Coutu 2019,SDSS J215752.30+120603.1 Coutu 2019,6103.0,82.0,8.0,0.14,He,0.57,0.08,329.467929680861,12.1009022364999,Gaia DR3 2728434462194932352,7.6103500761,0.6023412541,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.05,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J2209+1223,Coutu 2019,WD J2209+1223 Coutu 2019,14752.0,1192.0,7.97,0.12,He,0.57,0.07,332.395210515047,12.3934882286082,Gaia DR3 2727904257071365760,6.0313630881,0.1382338947,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.95,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J222503.71+233855.1,Coutu 2019,SDSS J222503.71+233855.1 Coutu 2019,6100.0,114.0,7.99,0.11,He,0.57,0.06,336.265225599915,23.6488613025763,Gaia DR3 1878579387730218112,8.0710250202,0.4429618252,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-3.05,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.31,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1922+0233,Elms 2022,WD J1922+0233 Elms 2022,3343.0,54.0,8.0,0.055,He,0.57,0.03,290.525834194341,2.5536923318694,Gaia DR3 4288942973032203904,25.36,0.27,1.27270553271472e+28,,,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4557E/abstract,,-2.69,0.17,,,-13.6,-1.0,,290645496000000.0,,,,,,,,,,,,,,,,,,,,,,,-12.6,0.2,,,,126545976000000.0,,,,,,,,,-12.65,-1.0,,,,108242568000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-13.1,0.2,,74160360000000.0,-13.96,0.2,,,,74160360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.23,-1.0,,,,49545432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 165-7,Farihi 2009,G 165-7 Farihi 2009,6400.0,,,,He,0.57,,202.745125,30.4977805555556,Gaia DR3 1468213546275054208,25.54,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2009ApJ...694..805F/abstract,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158489319.246111,,
SDSSJ0909-0045,Kepler 2021,SDSSJ0909-0045 Kepler 2021,8674.0,142.0,8.004,0.114,He,0.57,0.046,137.437791545063,-0.7664776358266,Gaia DR3 3842065090580902144,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.346,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1031+0936,Kepler 2021,SDSSJ1031+0936 Kepler 2021,10672.0,258.0,7.996,0.113,He,0.57,0.045,157.849666759536,9.6160190140544,Gaia DR3 3870096319192789120,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.208,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1313,Swan 2023,J1313 Swan 2023,8800.0,200.0,7.99,0.06,He,0.57,0.04,198.404294698508,57.633782780111,Gaia DR3 1566553007268519168,14.777,0.0461,2.36988860122774e+28,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023arXiv230906467S/abstract,,-4.7,0.2,,,,,,,,,,,,,,,,,,,,,,-5.0,-1.0,,,,235104120000000.0,,-8.0,-1.0,,,,167570856000000.0,,-7.9,0.2,,,,169464312000000.0,,-8.0,-1.0,,,,151160904000000.0,,-7.0,-1.0,,,,154316664000000.0,,,,,,,,,,,,,,,,,,,,,,,-9.3,0.2,,,,117394272000000.0,,-12.0,-1.0,,100353168000000.0,,-11.0,0.2,,,,94041648000000.0,,-10.0,-1.0,,88361280000000.0,,-9.8,0.3,,,,88992432000000.0,,-9.5,-1.0,,,,84258792000000.0,,-8.1,0.3,,,,84889944000000.0,,,,,,,-8.8,-1.0,,,,83312064000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251188643.150958,,
J1252+2153,Caron 2023,J1252+2153 Caron 2023,6150.0,34.0,7.998,0.03,H,0.571,0.025,193.177894907002,21.8926948205392,Gaia DR3 3954943428189717504,10.87282287,0.19915588,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1015+161,Koester 2006,WD1015+161 Koester 2006,19300.0,,7.9,,H,0.571,,154.515947266377,15.8662683405946,Gaia DR3 3888723386196630784,11.36168716,0.046688814,2.85423143326002e+17,,,,,,,,https://ui.adsabs.harvard.edu/abs/2006A%26A...453.1051K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,,,,,811155.219543067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194871850.543199,,
J1313+5738,Caron 2023,J1313+5738 Caron 2023,8774.0,48.0,7.988,0.008,He,0.571,0.007,198.404294698508,57.633782780111,Gaia DR3 1566553007268519168,14.777,0.0461,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1757+1021,Caron 2023,J1757+1021 Caron 2023,8075.0,24.0,7.991,0.005,He,0.571,0.005,269.357509264227,10.3568951509975,Gaia DR3 4494877446445481472,22.40145088,0.0411395,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2231+0906,Caron 2023,J2231+0906 Caron 2023,5626.0,52.0,8.001,0.052,He,0.571,0.045,337.754382716696,9.110220480295,Gaia DR3 2711092621203766912,11.2762,0.2573,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ0241-0533,Kepler 2021,SDSSJ0241-0533 Kepler 2021,8323.0,129.0,8.007,0.067,He,0.571,0.029,40.4277244466699,-5.5641849987161,Gaia DR3 5184841501339099008,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.916,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1548+149,Koester 2014,WD1548+149 Koester 2014,21686.0,294.0,7.897,0.089,H,0.572,0.047,237.814235785958,14.7831257819216,Gaia DR3 1192764133804981376,12.78050568,0.04322796,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract,,,,,,,,,,,,,,,-7.4,0.15,123026.877081238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.65,0.15,45708.8189614875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD2058+181,Koester 2014,WD2058+181 Koester 2014,17308.0,235.0,7.92,0.089,H,0.572,0.049,315.318736771554,18.3486933121604,Gaia DR3 1765090584946772736,15.18180618,0.033450652,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract,,,,,,,,,,,,,,,-6.5,0.1,1905460.71796325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,0.1,234422.881531992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ210916.51-003921.6,Blouin 2020,SDSSJ210916.51-003921.6 Blouin 2020,6132.0,161.0,7.997,0.147,He,0.572,0.088,317.318797831691,-0.6559854904877,Gaia DR3 2689160181727792512,6.9550076,0.45154265,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,,-3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ0046+0704,Kepler 2021,SDSSJ0046+0704 Kepler 2021,9024.0,151.0,8.006,0.07,He,0.572,0.029,11.6860314935974,7.0744524530633,Gaia DR3 2556711847110318080,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.714,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 367949367212923392,Badenas-Agusti 2023,Gaia DR3 367949367212923392 Badenas-Agusti 2023,9597.08503573,69.026682836,7.9543321534,0.022132438,H,0.5726121069,0.0127348303,12.3001220175429,38.691804447168,Gaia DR3 367949367212923392,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023arXiv231019790B/abstract,Good Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.94,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 4502205519647039616,Badenas-Agusti 2023,Gaia DR3 4502205519647039616 Badenas-Agusti 2023,8367.0,447.0,7.9928,0.0962,He,0.5727,0.0587,270.782069184614,16.580887220281,Gaia DR3 4502205519647039616,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023arXiv231019790B/abstract,Good Fit,-3.933,0.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9933,0.2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ0848+5214,Kepler 2021,SDSSJ0848+5214 Kepler 2021,8130.0,77.0,8.011,0.041,He,0.573,0.018,132.205962409757,35.8161307604557,Gaia DR3 717762977319125632,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.535,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSPM J0132+0529,Blouin 2022,LSPM J0132+0529 Blouin 2022,7370.0,60.0,7.968,0.031,H,0.574,0.018,23.0951829209564,5.490302457854,Gaia DR3 2564945432560219008,,,,,,,,MS companion: Gaia DR3 2564851394251630848,22847.0,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.89,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000.0,,
SDSSJ080740.69+493059.7,Blouin 2020,SDSSJ080740.69+493059.7 Blouin 2020,5172.0,179.0,8.005,0.291,He,0.574,0.187,121.91954,49.51649,Gaia DR3 934631788948274304,6.520719338,0.97047555,,,,,,M-dwarf companion: Gaia DR3 934631853372231296,4200.0,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,,-3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1042,Blouin 2022,GJ 1042 Blouin 2022,7225.0,65.0,7.97,0.02,H,0.574,0.012,130.112483161098,15.3113442150743,Gaia DR3 657673498630210176,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.86,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,
WD1337+705,Koester 2006,WD1337+705 Koester 2006,20435.0,,7.9,,H,0.574,,204.71032538364,70.2854557392278,Gaia DR3 1686708050268594944,37.7290701,0.028657429,3.14604527867505e+17,,,,,,,,https://ui.adsabs.harvard.edu/abs/2006A%26A...453.1051K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7,,,,,849383.78728404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32340677.1789622,,
SDSSJ234034.61+012416.6,Blouin 2020,SDSSJ234034.61+012416.6 Blouin 2020,6072.0,82.0,8.0,0.084,He,0.574,0.051,355.143977968976,1.4044806547178,Gaia DR3 2646118355949741440,8.842190219,0.3403426,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,,-3.1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0554-1035,Caron 2023,J0554-1035 Caron 2023,6089.0,14.0,8.003,0.003,He,0.574,0.004,88.6793255545309,-10.5892613425762,Gaia DR3 3011223668834627328,65.40972622,0.023127515,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1203+0834,Caron 2023,J1203+0834 Caron 2023,6066.0,27.0,8.003,0.022,He,0.574,0.019,180.850665631981,8.5693672193843,Gaia DR3 3899809757644549632,16.01419788,0.13464725,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1731+3705,Caron 2023,J1731+3705 Caron 2023,9825.0,59.0,7.99,0.009,He,0.574,0.007,262.892986964533,37.089086603197,Gaia DR3 1336442472164656000,17.81452344,0.033207793,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
